customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
CUST-0542,2019-11-25,Paid,2019-12-25,Basic,Monthly,,,6.49,370,32
CUST-0543,2019-12-09,Referral,2020-12-08,Premium,Annual,2022-04-18,Too Expensive,18.99,1550,40
CUST-0544,2019-12-23,Organic,2020-12-22,Premium,Annual,,,23.49,2450,11
CUST-0545,2020-01-06,Referral,2020-02-05,Basic,Monthly,2020-08-15,Payment Issues,5.99,190,71
CUST-0546,2020-01-20,Organic,2021-01-19,Standard,Annual,,,15.49,1030,23
CUST-0547,2020-02-03,Paid,2020-03-04,Standard,Monthly,,,10.99,450,34
CUST-0548,2020-02-17,Referral,2021-02-17,Premium,Annual,2023-07-29,Switched to Competitor,20.99,1680,42
CUST-0549,2020-03-02,Referral,2020-04-01,Basic,Monthly,2020-05-24,Forgot to Cancel Trial,7.49,125,73
CUST-0550,2020-03-16,Paid,2021-03-16,Premium,Annual,,,22.99,2200,16
CUST-0551,2020-03-30,Organic,2020-04-29,Standard,Monthly,2020-12-08,Lack of Content,11.49,340,57
CUST-0552,2020-04-13,Referral,2021-04-13,Standard,Annual,2022-10-20,Switched to Competitor,13.99,870,45
CUST-0553,2020-04-27,Organic,2020-05-27,Premium,Monthly,2021-01-04,Poor Streaming Quality,19.49,560,62
CUST-0554,2020-05-11,Paid,2021-05-11,Premium,Annual,,,21.99,2070,17
CUST-0555,2020-05-25,Referral,2020-06-24,Basic,Monthly,2021-02-03,Too Expensive,8.49,250,68
CUST-0556,2020-06-08,Organic,2021-06-08,Standard,Annual,,,11.99,905,25
CUST-0557,2020-06-22,Paid,2020-07-22,Basic,Monthly,2020-10-27,Payment Issues,6.49,160,70
CUST-0558,2020-07-06,Referral,2021-07-06,Premium,Annual,2023-03-14,Moved to Family Plan,19.99,1940,37
CUST-0559,2020-07-20,Organic,2020-08-19,Standard,Monthly,,,10.49,465,30
CUST-0560,2020-08-03,Referral,2021-08-03,Standard,Annual,,,14.49,950,22
CUST-0561,2020-08-17,Paid,2020-09-16,Premium,Monthly,2021-04-28,Too Expensive,17.99,600,58
CUST-0562,2020-08-31,Organic,2021-08-31,Premium,Annual,,,23.99,2400,13
CUST-0563,2020-09-14,Referral,2020-10-14,Basic,Monthly,2022-01-08,No Longer Interested,6.99,315,63
CUST-0564,2020-09-28,Organic,2021-09-28,Standard,Annual,2023-05-05,Switched to Competitor,15.99,880,48
CUST-0565,2020-10-12,Paid,2020-11-11,Basic,Monthly,2021-02-22,Forgot to Cancel Trial,7.99,145,74
CUST-0566,2020-10-26,Referral,2021-10-26,Premium,Annual,,,18.49,1790,18
CUST-0567,2020-11-09,Organic,2020-12-09,Standard,Monthly,,,12.99,490,29
CUST-0568,2020-11-23,Referral,2021-11-23,Standard,Annual,,,13.49,920,21
CUST-0569,2020-12-07,Paid,2021-01-06,Premium,Monthly,2021-09-16,Poor Streaming Quality,19.49,565,59
CUST-0570,2020-12-21,Organic,2021-12-21,Premium,Annual,2023-07-02,Too Expensive,21.49,2050,36
CUST-0571,2021-01-04,Referral,2021-02-03,Basic,Monthly,2021-06-18,Payment Issues,5.99,190,69
CUST-0572,2021-01-18,Paid,2022-01-18,Standard,Annual,,,14.99,1005,27
CUST-0573,2021-02-01,Organic,2021-03-03,Standard,Monthly,,,11.49,460,31
CUST-0574,2021-02-15,Referral,2022-02-15,Premium,Annual,,,22.49,1820,19
CUST-0575,2021-03-01,Referral,2021-04-01,Basic,Monthly,2021-05-19,Forgot to Cancel Trial,6.49,115,73
CUST-0576,2021-03-15,Paid,2022-03-15,Premium,Annual,2023-09-02,Too Expensive,19.99,1610,40
CUST-0577,2021-03-29,Organic,2021-04-28,Standard,Monthly,,,10.99,470,33
CUST-0578,2021-04-12,Referral,2022-04-12,Standard,Annual,,,15.49,925,24
CUST-0579,2021-04-26,Organic,2021-05-26,Premium,Monthly,2021-12-07,Lack of Content,18.49,600,60
CUST-0580,2021-05-10,Paid,2022-05-10,Premium,Annual,,,21.99,2100,15
CUST-0581,2021-05-24,Referral,2021-06-23,Basic,Monthly,2022-02-01,Too Expensive,8.99,255,68
CUST-0582,2021-06-07,Organic,2022-06-07,Standard,Annual,2023-12-13,Switched to Competitor,13.99,885,47
CUST-0583,2021-06-21,Paid,2021-07-21,Basic,Monthly,,,5.49,380,35
CUST-0584,2021-07-05,Referral,2022-07-05,Premium,Annual,2024-02-19,Moved to Family Plan,19.49,1950,37
CUST-0585,2021-07-19,Organic,2021-08-18,Standard,Monthly,,,10.49,470,30
CUST-0586,2021-08-02,Referral,2022-08-02,Standard,Annual,,,11.99,940,22
CUST-0587,2021-08-16,Paid,2021-09-15,Premium,Monthly,2022-03-28,Too Expensive,17.99,605,58
CUST-0588,2021-08-30,Organic,2022-08-30,Premium,Annual,,,23.99,2415,13
CUST-0589,2021-09-13,Referral,2021-10-13,Basic,Monthly,2023-01-08,No Longer Interested,6.99,320,64
CUST-0590,2021-09-27,Organic,2022-09-27,Standard,Annual,2025-05-17,Switched to Competitor,15.49,880,46
CUST-0591,2021-10-11,Paid,2021-11-10,Basic,Monthly,2022-02-23,Forgot to Cancel Trial,7.49,150,75
CUST-0592,2021-10-25,Referral,2022-10-25,Premium,Annual,,,18.49,1780,19
CUST-0593,2021-11-08,Organic,2021-12-08,Standard,Monthly,,,12.99,495,32
CUST-0594,2021-11-22,Paid,2022-11-22,Standard,Annual,,,13.99,950,24
CUST-0595,2021-12-06,Referral,2022-01-05,Premium,Monthly,2022-09-17,Poor Streaming Quality,19.49,590,60
CUST-0596,2021-12-20,Organic,2022-12-20,Premium,Annual,2024-07-30,Too Expensive,21.99,2090,37
CUST-0597,2022-01-03,Referral,2022-02-02,Basic,Monthly,2022-06-18,Payment Issues,5.99,195,70
CUST-0598,2022-01-17,Paid,2023-01-17,Standard,Annual,,,14.49,1010,27
CUST-0599,2022-01-31,Organic,2022-03-02,Standard,Monthly,2022-12-10,Switched to Competitor,11.49,465,31
CUST-0600,2022-02-14,Referral,2023-02-14,Premium,Annual,,Other,999.0,2300,85
